Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,country,gender,age,agegroup,continent,region,anxiety_score,anxiety_status
2,2,3,4,4,2,4,4,4,3,2,4,4,4,4,3,4,4,4,4,3,3,4,2,4,4,2,4,2,4,3,4,4,4,3,4,3,3,3,4,4,3,MY,2,19,1,AS,east,40,1
1,1,2,1,3,1,1,3,3,2,1,2,1,3,2,4,2,1,1,2,1,1,1,2,1,1,1,1,3,2,2,1,4,1,3,2,2,2,1,1,1,2,US,2,20,1,NA,west,6,0
3,3,2,2,4,3,1,3,4,3,3,3,3,3,1,1,3,2,4,3,2,4,1,2,3,3,2,2,3,3,2,2,4,3,2,3,1,2,4,3,1,2,US,2,18,1,NA,west,20,1
1,1,1,1,1,2,1,3,1,3,3,2,3,4,1,3,3,2,4,2,3,2,1,2,1,3,3,1,3,3,1,1,1,2,1,2,4,2,4,2,3,2,US,2,20,1,NA,west,10,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,1,34,2,NA,west,0,0
3,1,2,2,1,3,1,3,4,1,3,3,3,1,1,1,3,3,1,3,1,3,1,2,1,4,4,3,4,3,1,3,4,1,3,3,1,1,3,4,1,3,US,2,19,1,NA,west,15,1
3,2,2,1,3,1,1,2,1,2,1,1,1,4,1,3,1,2,1,1,1,1,1,3,2,1,2,1,1,1,3,2,1,1,4,1,1,2,3,1,1,4,US,1,19,1,NA,west,2,0
2,2,2,1,4,3,1,1,3,2,2,1,3,1,1,2,2,4,2,4,3,1,1,3,1,3,3,1,1,2,2,1,1,2,4,1,3,2,3,1,1,4,US,2,19,1,NA,west,8,0
3,2,3,4,3,3,4,4,2,4,3,3,4,2,2,3,4,3,2,4,4,4,2,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,3,3,CA,2,22,1,NA,west,27,1
3,2,2,2,1,4,1,2,3,2,3,2,3,4,1,2,2,2,1,3,2,2,1,2,1,3,2,3,4,2,3,2,2,3,3,3,2,1,3,3,1,4,EC,2,19,1,SA,other,13,0
